drug,disease
drug::DB13799,disease::5027
drug::DB00532,disease::5027
drug::DB00463,disease::5027
drug::DB01174,disease::5027
drug::DB00829,disease::5027
drug::DB13396,disease::5027
drug::DB00564,disease::5027
drug::DB00949,disease::5027
drug::DB00347,disease::5027
drug::DB00794,disease::5027
drug::DB00617,disease::5027
drug::DB00849,disease::5027
drug::DB00245,disease::3996
drug::DB00245,disease::11728
drug::DB00387,disease::3996
drug::DB00387,disease::11728
drug::DB00915,disease::3996
drug::DB00915,disease::11728
drug::DB00810,disease::3996
drug::DB00810,disease::11728
drug::DB00376,disease::3996
drug::DB00376,disease::11728
drug::DB00231,disease::13600
drug::DB00425,disease::13600
drug::DB13733,disease::13600
drug::DB13817,disease::13600
drug::DB01353,disease::13600
drug::DB01437,disease::13600
drug::DB01352,disease::13600
drug::DB00312,disease::13600
drug::DB00418,disease::13600
drug::DB00122,disease::13600
drug::DB13643,disease::13600
drug::DB01075,disease::13600
drug::DB01483,disease::13600
drug::DB01351,disease::13600
drug::DB06470,disease::13600
drug::DB00463,disease::13600
drug::DB01198,disease::13600
drug::DB13837,disease::13600
drug::DB01589,disease::13600
drug::DB01563,disease::13600
drug::DB01588,disease::13600
drug::DB00897,disease::13600
drug::DB00690,disease::13600
drug::DB01142,disease::13600
drug::DB01595,disease::13600
drug::DB00402,disease::13600
drug::DB11951,disease::13600
drug::DB01615,disease::13600
drug::DB01031,disease::13600
drug::DB01107,disease::13600
drug::DB00237,disease::13600
drug::DB00306,disease::13600
drug::DB00189,disease::13600
drug::DB09034,disease::13600
drug::DB12086,disease::5002
drug::DB12086,disease::11751
drug::DB09080,disease::5002
drug::DB09080,disease::11751
drug::DB11855,disease::5002
drug::DB11855,disease::11751
drug::DB01274,disease::5002
drug::DB01274,disease::11751
drug::DB00332,disease::5002
drug::DB00332,disease::11751
drug::DB09082,disease::5002
drug::DB09082,disease::11751
drug::DB01430,disease::5002
drug::DB01430,disease::11751
drug::DB13239,disease::3781_5607_18597
drug::DB01274,disease::3781_5607_18597
drug::DB09082,disease::3781_5607_18597
drug::DB00651,disease::3781_5607_18597
drug::DB01409,disease::3781_5607_18597
drug::DB11739,disease::1126
drug::DB00517,disease::1126
drug::DB08806,disease::1126
drug::DB00585,disease::1126
drug::DB00927,disease::1126
drug::DB00338,disease::1126
drug::DB00863,disease::1126
drug::DB05197,disease::1126
drug::DB00505,disease::1126
drug::DB00940,disease::1126
drug::DB13788,disease::1126
drug::DB00501,disease::1126
drug::DB13419,disease::1126
drug::DB04843,disease::1126
drug::DB06723,disease::1126
drug::DB13762,disease::1126
drug::DB00448,disease::1126
drug::DB00724,disease::1209
drug::DB00724,disease::9176
drug::DB00724,disease::5647
drug::DB04571,disease::7559_12304_12305
drug::DB04571,disease::6597
drug::DB00105,disease::5647
drug::DB00105,disease::1209
drug::DB11152,disease::5647
drug::DB11152,disease::1209
drug::DB01179,disease::5647
drug::DB01179,disease::1209
drug::DB14086,disease::5647
drug::DB14086,disease::1209
drug::DB14020,disease::5647
drug::DB14020,disease::1209
drug::DB00959,disease::7179
drug::DB00635,disease::7179
drug::DB00860,disease::7179
drug::DB00741,disease::7179
drug::DB01380,disease::7179
drug::DB14539,disease::7179
drug::DB00443,disease::7179
drug::DB00620,disease::7179
drug::DB00724,disease::2954
drug::DB00544,disease::2954
drug::DB00724,disease::5173
drug::DB00724,disease::2527
drug::DB00724,disease::8420
drug::DB00724,disease::43300
drug::DB05013,disease::5173
drug::DB05013,disease::2527
drug::DB05013,disease::8420
drug::DB05013,disease::43300
drug::DB00544,disease::5173
drug::DB00544,disease::2527
drug::DB00544,disease::8420
drug::DB00544,disease::43300
drug::DB00179,disease::5173
drug::DB00179,disease::2527
drug::DB00179,disease::8420
drug::DB00179,disease::43300
drug::DB00586,disease::5173
drug::DB00586,disease::2527
drug::DB00586,disease::8420
drug::DB00586,disease::43300
drug::DB00855,disease::5173
drug::DB00855,disease::2527
drug::DB00855,disease::8420
drug::DB00855,disease::43300
drug::DB01104,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB01104,disease::5379
drug::DB01104,disease::1442
drug::DB00726,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB00726,disease::5379
drug::DB00726,disease::1442
drug::DB00540,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB00540,disease::5379
drug::DB00540,disease::1442
drug::DB01171,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB01171,disease::5379
drug::DB01171,disease::1442
drug::DB09248,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB09248,disease::5379
drug::DB09248,disease::1442
drug::DB00715,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB00715,disease::5379
drug::DB00715,disease::1442
drug::DB09244,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB09244,disease::5379
drug::DB09244,disease::1442
drug::DB00215,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB00215,disease::5379
drug::DB00215,disease::1442
drug::DB04836,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB04836,disease::5379
drug::DB04836,disease::1442
drug::DB09304,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB09304,disease::5379
drug::DB09304,disease::1442
drug::DB00472,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB00472,disease::5379
drug::DB00472,disease::1442
drug::DB04818,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB04818,disease::5379
drug::DB04818,disease::1442
drug::DB00780,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB00780,disease::5379
drug::DB00780,disease::1442
drug::DB00458,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB00458,disease::5379
drug::DB00458,disease::1442
drug::DB00321,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB00321,disease::5379
drug::DB00321,disease::1442
drug::DB01151,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB01151,disease::5379
drug::DB01151,disease::1442
drug::DB00344,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB00344,disease::5379
drug::DB00344,disease::1442
drug::DB09016,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB09016,disease::5379
drug::DB09016,disease::1442
drug::DB09247,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB09247,disease::5379
drug::DB09247,disease::1442
drug::DB01156,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB01156,disease::5379
drug::DB01156,disease::1442
drug::DB11823,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB11823,disease::5379
drug::DB11823,disease::1442
drug::DB12930,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB12930,disease::5379
drug::DB12930,disease::1442
drug::DB09245,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB09245,disease::5379
drug::DB09245,disease::1442
drug::DB01545,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB01545,disease::5379
drug::DB01545,disease::1442
drug::DB08998,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB08998,disease::5379
drug::DB08998,disease::1442
drug::DB13411,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB13411,disease::5379
drug::DB13411,disease::1442
drug::DB09254,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB09254,disease::5379
drug::DB09254,disease::1442
drug::DB01142,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB01142,disease::5379
drug::DB01142,disease::1442
drug::DB00543,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB00543,disease::5379
drug::DB00543,disease::1442
drug::DB00934,disease::8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384
drug::DB00934,disease::5379
drug::DB00934,disease::1442
drug::DB06819,disease::9376
drug::DB00472,disease::4985_693_24613_1866
drug::DB08815,disease::4985_693_24613_1866
drug::DB01142,disease::4985_693_24613_1866
drug::DB00334,disease::4985_693_24613_1866
drug::DB01224,disease::4985_693_24613_1866
drug::DB14507,disease::4985_693_24613_1866
drug::DB14507,disease::7440_10648_12685_694_12881_12319_12642_12686_12877_12882
drug::DB14509,disease::4985_693_24613_1866
drug::DB14509,disease::7440_10648_12685_694_12881_12319_12642_12686_12877_12882
drug::DB00408,disease::4985_693_24613_1866
drug::DB00408,disease::7440_10648_12685_694_12881_12319_12642_12686_12877_12882
drug::DB01224,disease::7440_10648_12685_694_12881_12319_12642_12686_12877_12882
drug::DB00313,disease::24612
drug::DB14507,disease::24612
drug::DB06016,disease::24612
drug::DB06216,disease::24612
drug::DB00420,disease::24612
drug::DB14509,disease::24612
drug::DB00477,disease::24612
drug::DB00564,disease::24612
drug::DB00246,disease::24612
drug::DB00334,disease::24612
drug::DB01238,disease::24612
drug::DB01224,disease::24612
drug::DB00734,disease::24612
drug::DB00273,disease::5384
drug::DB00555,disease::5384
drug::DB00252,disease::5384
drug::DB01174,disease::5384
drug::DB00564,disease::5384
drug::DB00776,disease::5384
drug::DB00949,disease::5384
drug::DB00794,disease::5384
drug::DB00906,disease::5384
drug::DB01202,disease::5384
drug::DB11995,disease::10120_8555_14837_8556_30867_14536_12775_10743_2049_4680
drug::DB00038,disease::10120_8555_14837_8556_30867_14536_12775_10743_2049_4680
drug::DB13125,disease::10120_8555_14837_8556_30867_14536_12775_10743_2049_4680
drug::DB00186,disease::16022
drug::DB09118,disease::16022
drug::DB01068,disease::16022
drug::DB01595,disease::16022
drug::DB00313,disease::11876_10826
drug::DB00832,disease::11876_10826
drug::DB00186,disease::11876_10826
drug::DB00593,disease::11876_10826
drug::DB05246,disease::11876_10826
drug::DB00819,disease::11876_10826
drug::DB13799,disease::11876_10826
drug::DB01068,disease::11876_10826
drug::DB00347,disease::11876_10826
drug::DB00617,disease::11876_10826
drug::DB06016,disease::4985_693_24613_1866
drug::DB06216,disease::4985_693_24613_1866
drug::DB00564,disease::4985_693_24613_1866
drug::DB00246,disease::4985_693_24613_1866
drug::DB01238,disease::4985_693_24613_1866
drug::DB00734,disease::4985_693_24613_1866
drug::DB09096,disease::6547
drug::DB14512,disease::6547
drug::DB00959,disease::6547
drug::DB00588,disease::6547
drug::DB01130,disease::6547
drug::DB00591,disease::6547
drug::DB01260,disease::6547
drug::DB03904,disease::6547
drug::DB14487,disease::6547
drug::DB06768,disease::6547
drug::DB00288,disease::6547
drug::DB00860,disease::6547
drug::DB00741,disease::6547
drug::DB01380,disease::6547
drug::DB14539,disease::6547
drug::DB01234,disease::6547
drug::DB00547,disease::6547
drug::DB00443,disease::6547
drug::DB01047,disease::6547
drug::DB06786,disease::6547
drug::DB00663,disease::6547
drug::DB00846,disease::6547
drug::DB09345,disease::6547
drug::DB09321,disease::6547
drug::DB11576,disease::6547
drug::DB00620,disease::6547
drug::DB00310,disease::5009
drug::DB00742,disease::5009
drug::DB00819,disease::5009
drug::DB00880,disease::5009
drug::DB00999,disease::5009
drug::DB00903,disease::5009
drug::DB00214,disease::5009
drug::DB02925,disease::5009
drug::DB00695,disease::5009
drug::DB00421,disease::5009
drug::DB00384,disease::5009
drug::DB00887,disease::5009
drug::DB00808,disease::5009
drug::DB00594,disease::5009
drug::DB13803,disease::5009
drug::DB00774,disease::5009
drug::DB00232,disease::5009
drug::DB00624,disease::19591_5152
drug::DB00624,disease::50
drug::DB00624,disease::7794_9239_9223_13912_13961_7844_13946_14105_13910_14102_12880_14461_9482_30010_14107_13914_10635_14106_13911_12528_13926_13913_12988_14103_13915
drug::DB00624,disease::10615_13006_8250_32569_9876_32567
drug::DB00624,disease::13099
drug::DB00624,disease::15127
drug::DB00624,disease::15770_16553
drug::DB00624,disease::15789
drug::DB00624,disease::16384
drug::DB00624,disease::9417_18555
drug::DB00624,disease::18762
drug::DB00624,disease::18800
drug::DB00624,disease::18967
drug::DB00624,disease::19614
drug::DB00624,disease::19618
drug::DB00624,disease::19824
drug::DB00624,disease::19832
drug::DB00624,disease::19841
drug::DB00624,disease::3393
drug::DB00023,disease::4967
drug::DB00023,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB00023,disease::20512
drug::DB00959,disease::4967
drug::DB00959,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB00959,disease::20512
drug::DB00563,disease::4967
drug::DB00563,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB00563,disease::20512
drug::DB00541,disease::4967
drug::DB00541,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB00541,disease::20512
drug::DB00309,disease::4967
drug::DB00309,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB00309,disease::20512
drug::DB00635,disease::4967
drug::DB00635,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB00635,disease::20512
drug::DB01033,disease::4967
drug::DB01033,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB01033,disease::20512
drug::DB00860,disease::4967
drug::DB00860,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB00860,disease::20512
drug::DB00741,disease::4967
drug::DB00741,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB00741,disease::20512
drug::DB01380,disease::4967
drug::DB01380,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB01380,disease::20512
drug::DB14539,disease::4967
drug::DB14539,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB14539,disease::20512
drug::DB01234,disease::4967
drug::DB01234,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB01234,disease::20512
drug::DB00443,disease::4967
drug::DB00443,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB00443,disease::20512
drug::DB00444,disease::4967
drug::DB00444,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB00444,disease::20512
drug::DB00997,disease::4967
drug::DB00997,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB00997,disease::20512
drug::DB00694,disease::4967
drug::DB00694,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB00694,disease::20512
drug::DB00987,disease::4967
drug::DB00987,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB00987,disease::20512
drug::DB08886,disease::4967
drug::DB08886,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB08886,disease::20512
drug::DB00059,disease::4967
drug::DB00059,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB00059,disease::20512
drug::DB00620,disease::4967
drug::DB00620,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB00620,disease::20512
drug::DB00631,disease::4967
drug::DB00631,disease::13108_7190_12318_12934_12935_12936_13109
drug::DB00631,disease::20512
drug::DB00959,disease::4802
drug::DB00635,disease::4802
drug::DB00860,disease::4802
drug::DB00741,disease::4802
drug::DB01380,disease::4802
drug::DB14539,disease::4802
drug::DB01234,disease::4802
drug::DB00443,disease::4802
drug::DB00620,disease::4802
drug::DB00959,disease::4
drug::DB00635,disease::4
drug::DB00860,disease::4
drug::DB00741,disease::4
drug::DB01380,disease::4
drug::DB14539,disease::4
drug::DB01234,disease::4
drug::DB00443,disease::4
drug::DB01284,disease::4
drug::DB00620,disease::4
drug::DB00279,disease::5420_16412_15777
drug::DB00451,disease::5420_16412_15777
drug::DB09033,disease::5011_5535
drug::DB09033,disease::5532
drug::DB00959,disease::5011_5535
drug::DB00959,disease::5532
drug::DB01260,disease::5011_5535
drug::DB01260,disease::5532
drug::DB00635,disease::5011_5535
drug::DB00635,disease::5532
drug::DB01222,disease::5011_5535
drug::DB01222,disease::5532
drug::DB00860,disease::5011_5535
drug::DB00860,disease::5532
drug::DB00741,disease::5011_5535
drug::DB00741,disease::5532
drug::DB01380,disease::5011_5535
drug::DB01380,disease::5532
drug::DB14539,disease::5011_5535
drug::DB14539,disease::5532
drug::DB01234,disease::5011_5535
drug::DB01234,disease::5532
drug::DB08904,disease::5011_5535
drug::DB08904,disease::5532
drug::DB00443,disease::5011_5535
drug::DB00443,disease::5532
drug::DB00051,disease::5011_5535
drug::DB00051,disease::5532
drug::DB00108,disease::5011_5535
drug::DB00108,disease::5532
drug::DB00065,disease::5011_5535
drug::DB00065,disease::5532
drug::DB00620,disease::5011_5535
drug::DB00620,disease::5532
drug::DB00959,disease::18479_19847_23601_60783
drug::DB00959,disease::15898
drug::DB00635,disease::18479_19847_23601_60783
drug::DB00635,disease::15898
drug::DB00860,disease::18479_19847_23601_60783
drug::DB00860,disease::15898
drug::DB00741,disease::18479_19847_23601_60783
drug::DB00741,disease::15898
drug::DB01380,disease::18479_19847_23601_60783
drug::DB01380,disease::15898
drug::DB14539,disease::18479_19847_23601_60783
drug::DB14539,disease::15898
drug::DB01234,disease::18479_19847_23601_60783
drug::DB01234,disease::15898
drug::DB00443,disease::18479_19847_23601_60783
drug::DB00443,disease::15898
drug::DB00620,disease::18479_19847_23601_60783
drug::DB00620,disease::15898
drug::DB00959,disease::6594
drug::DB03793,disease::6594
drug::DB00635,disease::6594
drug::DB00860,disease::6594
drug::DB00741,disease::6594
drug::DB01380,disease::6594
drug::DB14539,disease::6594
drug::DB01234,disease::6594
drug::DB00443,disease::6594
drug::DB02362,disease::6594
drug::DB00620,disease::6594
drug::DB00602,disease::5974
drug::DB00730,disease::5974
drug::DB01246,disease::10481
drug::DB01246,disease::12526_15053_19623_15054
drug::DB00959,disease::10481
drug::DB00959,disease::12526_15053_19623_15054
drug::DB00420,disease::10481
drug::DB00420,disease::12526_15053_19623_15054
drug::DB00635,disease::10481
drug::DB00635,disease::12526_15053_19623_15054
drug::DB00860,disease::10481
drug::DB00860,disease::12526_15053_19623_15054
drug::DB00741,disease::10481
drug::DB00741,disease::12526_15053_19623_15054
drug::DB01380,disease::10481
drug::DB01380,disease::12526_15053_19623_15054
drug::DB14539,disease::10481
drug::DB14539,disease::12526_15053_19623_15054
drug::DB01234,disease::10481
drug::DB01234,disease::12526_15053_19623_15054
drug::DB00443,disease::10481
drug::DB00443,disease::12526_15053_19623_15054
drug::DB00902,disease::10481
drug::DB00902,disease::12526_15053_19623_15054
drug::DB00620,disease::10481
drug::DB00620,disease::12526_15053_19623_15054
drug::DB00959,disease::2471
drug::DB00328,disease::2471
drug::DB00860,disease::2471
drug::DB00741,disease::2471
drug::DB01380,disease::2471
drug::DB14539,disease::2471
drug::DB01234,disease::2471
drug::DB00605,disease::2471
drug::DB00443,disease::2471
drug::DB00788,disease::2471
drug::DB01397,disease::2471
drug::DB00620,disease::2471
drug::DB11656,disease::4247
drug::DB11181,disease::4247
drug::DB00517,disease::4247
drug::DB00725,disease::4247
drug::DB00585,disease::4247
drug::DB11132,disease::4247
drug::DB01625,disease::4247
drug::DB00338,disease::4247
drug::DB13595,disease::4247
drug::DB09154,disease::4247
drug::DB00505,disease::4247
drug::DB13507,disease::4247
drug::DB00940,disease::4247
drug::DB00475,disease::4247
drug::DB02329,disease::4247
drug::DB09481,disease::4247
drug::DB00747,disease::4247
drug::DB05265,disease::4247
drug::DB00782,disease::4247
drug::DB11098,disease::4247
drug::DB00670,disease::4247
drug::DB04843,disease::4247
drug::DB13695,disease::4247
drug::DB06723,disease::4247
drug::DB13762,disease::4247
drug::DB11964,disease::4247
drug::DB09281,disease::4247
drug::DB05351,disease::4247
drug::DB09104,disease::4247
drug::DB00383,disease::4247
drug::DB00736,disease::4247
drug::DB01129,disease::4247
drug::DB09221,disease::4247
drug::DB00448,disease::4247
drug::DB00213,disease::4247
drug::DB00424,disease::4247
drug::DB00959,disease::2400
drug::DB00959,disease::4855
drug::DB00936,disease::2400
drug::DB00936,disease::4855
drug::DB00328,disease::2400
drug::DB00328,disease::4855
drug::DB00860,disease::2400
drug::DB00860,disease::4855
drug::DB00741,disease::2400
drug::DB00741,disease::4855
drug::DB01380,disease::2400
drug::DB01380,disease::4855
drug::DB14539,disease::2400
drug::DB14539,disease::4855
drug::DB00443,disease::2400
drug::DB00443,disease::4855
drug::DB01397,disease::2400
drug::DB01397,disease::4855
drug::DB00620,disease::2400
drug::DB00620,disease::4855
drug::DB00959,disease::11849
drug::DB05679,disease::11849
drug::DB01097,disease::11849
drug::DB05676,disease::11849
drug::DB00635,disease::11849
drug::DB00860,disease::11849
drug::DB00741,disease::11849
drug::DB01380,disease::11849
drug::DB14539,disease::11849
drug::DB01234,disease::11849
drug::DB06674,disease::11849
drug::DB08904,disease::11849
drug::DB00443,disease::11849
drug::DB00051,disease::11849
drug::DB00005,disease::11849
drug::DB00065,disease::11849
drug::DB00620,disease::11849
drug::DB00959,disease::5377
drug::DB00959,disease::2350
drug::DB00959,disease::6835
drug::DB00635,disease::5377
drug::DB00635,disease::2350
drug::DB00635,disease::6835
drug::DB00860,disease::5377
drug::DB00860,disease::2350
drug::DB00860,disease::6835
